證券代碼,年月日,收盤價(元),收盤價
Y9999 加權指數,2022/3/15,"16,926.06",
TX202203 台指 2022/03,2022/3/15,,"16,882"
TX202204 台指 2022/04,2022/3/15,,"16,825"
TX202205 台指 2022/05,2022/3/15,,"16,797"
TX202206 台指 2022/06,2022/3/15,,"16,773"
TX202209 台指 2022/09,2022/3/15,,"16,190"
TX202212 台指 2022/12,2022/3/15,,"16,098"
Y9999 加權指數,2022/3/14,"17,263.04",
TX202203 台指 2022/03,2022/3/14,,"17,239"
TX202204 台指 2022/04,2022/3/14,,"17,208"
TX202205 台指 2022/05,2022/3/14,,"17,166"
TX202206 台指 2022/06,2022/3/14,,"17,107"
TX202209 台指 2022/09,2022/3/14,,"16,546"
TX202212 台指 2022/12,2022/3/14,,"16,418"
Y9999 加權指數,2022/3/11,"17,264.74",
TX202203 台指 2022/03,2022/3/11,,"17,220"
TX202204 台指 2022/04,2022/3/11,,"17,194"
TX202205 台指 2022/05,2022/3/11,,"17,165"
TX202206 台指 2022/06,2022/3/11,,"17,082"
TX202209 台指 2022/09,2022/3/11,,"16,493"
TX202212 台指 2022/12,2022/3/11,,"16,412"
Y9999 加權指數,2022/3/10,"17,433.20",
TX202203 台指 2022/03,2022/3/10,,"17,437"
TX202204 台指 2022/04,2022/3/10,,"17,398"
TX202205 台指 2022/05,2022/3/10,,"17,364"
TX202206 台指 2022/06,2022/3/10,,"17,293"
TX202209 台指 2022/09,2022/3/10,,"16,712"
TX202212 台指 2022/12,2022/3/10,,"16,644"
Y9999 加權指數,2022/3/9,"17,015.36",
TX202203 台指 2022/03,2022/3/9,,"16,946"
TX202204 台指 2022/04,2022/3/9,,"16,913"
TX202205 台指 2022/05,2022/3/9,,"16,885"
TX202206 台指 2022/06,2022/3/9,,"16,842"
TX202209 台指 2022/09,2022/3/9,,"16,290"
TX202212 台指 2022/12,2022/3/9,,"16,197"
Y9999 加權指數,2022/3/8,"16,825.25",
TX202203 台指 2022/03,2022/3/8,,"16,702"
TX202204 台指 2022/04,2022/3/8,,"16,670"
TX202205 台指 2022/05,2022/3/8,,"16,673"
TX202206 台指 2022/06,2022/3/8,,"16,622"
TX202209 台指 2022/09,2022/3/8,,"16,078"
TX202212 台指 2022/12,2022/3/8,,"16,006"
Y9999 加權指數,2022/3/7,"17,178.69",
TX202203 台指 2022/03,2022/3/7,,"17,058"
TX202204 台指 2022/04,2022/3/7,,"17,036"
TX202205 台指 2022/05,2022/3/7,,"17,020"
TX202206 台指 2022/06,2022/3/7,,"16,978"
TX202209 台指 2022/09,2022/3/7,,"16,423"
TX202212 台指 2022/12,2022/3/7,,"16,380"
Y9999 加權指數,2022/3/4,"17,736.52",
TX202203 台指 2022/03,2022/3/4,,"17,666"
TX202204 台指 2022/04,2022/3/4,,"17,641"
TX202205 台指 2022/05,2022/3/4,,"17,620"
TX202206 台指 2022/06,2022/3/4,,"17,582"
TX202209 台指 2022/09,2022/3/4,,"17,049"
TX202212 台指 2022/12,2022/3/4,,"16,971"
Y9999 加權指數,2022/3/3,"17,934.40",
TX202203 台指 2022/03,2022/3/3,,"17,929"
TX202204 台指 2022/04,2022/3/3,,"17,902"
TX202205 台指 2022/05,2022/3/3,,"17,872"
TX202206 台指 2022/06,2022/3/3,,"17,830"
TX202209 台指 2022/09,2022/3/3,,"17,279"
TX202212 台指 2022/12,2022/3/3,,"17,220"
Y9999 加權指數,2022/3/2,"17,867.60",
TX202203 台指 2022/03,2022/3/2,,"17,844"
TX202204 台指 2022/04,2022/3/2,,"17,815"
TX202205 台指 2022/05,2022/3/2,,"17,779"
TX202206 台指 2022/06,2022/3/2,,"17,758"
TX202209 台指 2022/09,2022/3/2,,"17,217"
TX202212 台指 2022/12,2022/3/2,,"17,158"
Y9999 加權指數,2022/3/1,"17,898.25",
TX202203 台指 2022/03,2022/3/1,,"17,911"
TX202204 台指 2022/04,2022/3/1,,"17,888"
TX202205 台指 2022/05,2022/3/1,,"17,853"
TX202206 台指 2022/06,2022/3/1,,"17,815"
TX202209 台指 2022/09,2022/3/1,,"17,302"
TX202212 台指 2022/12,2022/3/1,,"17,234"
Y9999 加權指數,2022/2/25,"17,652.18",
TX202203 台指 2022/03,2022/2/25,,"17,606"
TX202204 台指 2022/04,2022/2/25,,"17,580"
TX202205 台指 2022/05,2022/2/25,,"17,555"
TX202206 台指 2022/06,2022/2/25,,"17,493"
TX202209 台指 2022/09,2022/2/25,,"17,010"
TX202212 台指 2022/12,2022/2/25,,"16,917"
Y9999 加權指數,2022/2/24,"17,594.55",
TX202203 台指 2022/03,2022/2/24,,"17,516"
TX202204 台指 2022/04,2022/2/24,,"17,485"
TX202205 台指 2022/05,2022/2/24,,"17,461"
TX202206 台指 2022/06,2022/2/24,,"17,442"
TX202209 台指 2022/09,2022/2/24,,"16,923"
TX202212 台指 2022/12,2022/2/24,,"16,850"
Y9999 加權指數,2022/2/23,"18,055.73",
TX202203 台指 2022/03,2022/2/23,,"18,042"
TX202204 台指 2022/04,2022/2/23,,"18,013"
TX202205 台指 2022/05,2022/2/23,,"17,975"
TX202206 台指 2022/06,2022/2/23,,"17,928"
TX202209 台指 2022/09,2022/2/23,,"17,420"
TX202212 台指 2022/12,2022/2/23,,"17,372"
Y9999 加權指數,2022/2/22,"17,969.29",
TX202203 台指 2022/03,2022/2/22,,"17,878"
TX202204 台指 2022/04,2022/2/22,,"17,849"
TX202205 台指 2022/05,2022/2/22,,"17,819"
TX202206 台指 2022/06,2022/2/22,,"17,791"
TX202209 台指 2022/09,2022/2/22,,"17,309"
TX202212 台指 2022/12,2022/2/22,,"17,235"
Y9999 加權指數,2022/2/21,"18,221.49",
TX202203 台指 2022/03,2022/2/21,,"18,210"
TX202204 台指 2022/04,2022/2/21,,"18,177"
TX202205 台指 2022/05,2022/2/21,,"18,147"
TX202206 台指 2022/06,2022/2/21,,"18,109"
TX202209 台指 2022/09,2022/2/21,,"17,635"
TX202212 台指 2022/12,2022/2/21,,"17,536"
Y9999 加權指數,2022/2/18,"18,232.35",
TX202203 台指 2022/03,2022/2/18,,"18,226"
TX202204 台指 2022/04,2022/2/18,,"18,192"
TX202205 台指 2022/05,2022/2/18,,"18,151"
TX202206 台指 2022/06,2022/2/18,,"18,131"
TX202209 台指 2022/09,2022/2/18,,"17,645"
TX202212 台指 2022/12,2022/2/18,,"17,575"
Y9999 加權指數,2022/2/17,"18,268.57",
TX202203 台指 2022/03,2022/2/17,,"18,243"
TX202204 台指 2022/04,2022/2/17,,"18,207"
TX202205 台指 2022/05,2022/2/17,,"18,177"
TX202206 台指 2022/06,2022/2/17,,"18,120"
TX202209 台指 2022/09,2022/2/17,,"17,645"
TX202212 台指 2022/12,2022/2/17,,"17,570"
Y9999 加權指數,2022/2/16,"18,231.47",
TX202202 台指 2022/02,2022/2/16,,"18,207"
TX202203 台指 2022/03,2022/2/16,,"18,213"
TX202204 台指 2022/04,2022/2/16,,"18,180"
TX202206 台指 2022/06,2022/2/16,,"18,100"
TX202209 台指 2022/09,2022/2/16,,"17,627"
TX202212 台指 2022/12,2022/2/16,,"17,566"
Y9999 加權指數,2022/2/15,"17,951.81",
TX202202 台指 2022/02,2022/2/15,,"17,953"
TX202203 台指 2022/03,2022/2/15,,"17,922"
TX202204 台指 2022/04,2022/2/15,,"17,880"
TX202206 台指 2022/06,2022/2/15,,"17,798"
TX202209 台指 2022/09,2022/2/15,,"17,320"
TX202212 台指 2022/12,2022/2/15,,"17,281"
Y9999 加權指數,2022/2/14,"17,997.67",
TX202202 台指 2022/02,2022/2/14,,"17,977"
TX202203 台指 2022/03,2022/2/14,,"17,930"
TX202204 台指 2022/04,2022/2/14,,"17,900"
TX202206 台指 2022/06,2022/2/14,,"17,812"
TX202209 台指 2022/09,2022/2/14,,"17,381"
TX202212 台指 2022/12,2022/2/14,,"17,328"
Y9999 加權指數,2022/2/11,"18,310.94",
TX202202 台指 2022/02,2022/2/11,,"18,275"
TX202203 台指 2022/03,2022/2/11,,"18,226"
TX202204 台指 2022/04,2022/2/11,,"18,173"
TX202206 台指 2022/06,2022/2/11,,"18,093"
TX202209 台指 2022/09,2022/2/11,,"17,663"
TX202212 台指 2022/12,2022/2/11,,"17,590"
Y9999 加權指數,2022/2/10,"18,338.05",
TX202202 台指 2022/02,2022/2/10,,"18,337"
TX202203 台指 2022/03,2022/2/10,,"18,280"
TX202204 台指 2022/04,2022/2/10,,"18,235"
TX202206 台指 2022/06,2022/2/10,,"18,154"
TX202209 台指 2022/09,2022/2/10,,"17,726"
TX202212 台指 2022/12,2022/2/10,,"17,657"
Y9999 加權指數,2022/2/9,"18,151.76",
TX202202 台指 2022/02,2022/2/9,,"18,167"
TX202203 台指 2022/03,2022/2/9,,"18,113"
TX202204 台指 2022/04,2022/2/9,,"18,073"
TX202206 台指 2022/06,2022/2/9,,"17,985"
TX202209 台指 2022/09,2022/2/9,,"17,571"
TX202212 台指 2022/12,2022/2/9,,"17,450"
Y9999 加權指數,2022/2/8,"17,966.56",
TX202202 台指 2022/02,2022/2/8,,"17,942"
TX202203 台指 2022/03,2022/2/8,,"17,889"
TX202204 台指 2022/04,2022/2/8,,"17,850"
TX202206 台指 2022/06,2022/2/8,,"17,768"
TX202209 台指 2022/09,2022/2/8,,"17,428"
TX202212 台指 2022/12,2022/2/8,,"17,280"
Y9999 加權指數,2022/2/7,"17,900.30",
TX202202 台指 2022/02,2022/2/7,,"17,899"
TX202203 台指 2022/03,2022/2/7,,"17,846"
TX202204 台指 2022/04,2022/2/7,,"17,795"
TX202206 台指 2022/06,2022/2/7,,"17,726"
TX202209 台指 2022/09,2022/2/7,,"17,300"
TX202212 台指 2022/12,2022/2/7,,"17,208"
Y9999 加權指數,2022/1/26,"17,674.40",
TX202202 台指 2022/02,2022/1/26,,"17,625"
TX202203 台指 2022/03,2022/1/26,,"17,570"
TX202204 台指 2022/04,2022/1/26,,"17,531"
TX202206 台指 2022/06,2022/1/26,,"17,455"
TX202209 台指 2022/09,2022/1/26,,"17,035"
TX202212 台指 2022/12,2022/1/26,,"16,964"
Y9999 加權指數,2022/1/25,"17,701.12",
TX202202 台指 2022/02,2022/1/25,,"17,678"
TX202203 台指 2022/03,2022/1/25,,"17,625"
TX202204 台指 2022/04,2022/1/25,,"17,578"
TX202206 台指 2022/06,2022/1/25,,"17,502"
TX202209 台指 2022/09,2022/1/25,,"17,080"
TX202212 台指 2022/12,2022/1/25,,"17,012"
Y9999 加權指數,2022/1/24,"17,989.04",
TX202202 台指 2022/02,2022/1/24,,"17,957"
TX202203 台指 2022/03,2022/1/24,,"17,905"
TX202204 台指 2022/04,2022/1/24,,"17,864"
TX202206 台指 2022/06,2022/1/24,,"17,790"
TX202209 台指 2022/09,2022/1/24,,"17,367"
TX202212 台指 2022/12,2022/1/24,,"17,293"
Y9999 加權指數,2022/1/21,"17,899.30",
TX202202 台指 2022/02,2022/1/21,,"17,895"
TX202203 台指 2022/03,2022/1/21,,"17,840"
TX202204 台指 2022/04,2022/1/21,,"17,793"
TX202206 台指 2022/06,2022/1/21,,"17,726"
TX202209 台指 2022/09,2022/1/21,,"17,307"
TX202212 台指 2022/12,2022/1/21,,"17,233"
Y9999 加權指數,2022/1/20,"18,218.28",
TX202202 台指 2022/02,2022/1/20,,"18,226"
TX202203 台指 2022/03,2022/1/20,,"18,168"
TX202204 台指 2022/04,2022/1/20,,"18,148"
TX202206 台指 2022/06,2022/1/20,,"18,070"
TX202209 台指 2022/09,2022/1/20,,"17,637"
TX202212 台指 2022/12,2022/1/20,,"17,572"
Y9999 加權指數,2022/1/19,"18,227.46",
TX202201 台指 2022/01,2022/1/19,,"18,218"
TX202202 台指 2022/02,2022/1/19,,"18,143"
TX202203 台指 2022/03,2022/1/19,,"18,092"
TX202206 台指 2022/06,2022/1/19,,"17,996"
TX202209 台指 2022/09,2022/1/19,,"17,577"
TX202212 台指 2022/12,2022/1/19,,"17,486"
Y9999 加權指數,2022/1/18,"18,378.64",
TX202201 台指 2022/01,2022/1/18,,"18,349"
TX202202 台指 2022/02,2022/1/18,,"18,314"
TX202203 台指 2022/03,2022/1/18,,"18,253"
TX202206 台指 2022/06,2022/1/18,,"18,140"
TX202209 台指 2022/09,2022/1/18,,"17,732"
TX202212 台指 2022/12,2022/1/18,,"17,653"
Y9999 加權指數,2022/1/17,"18,525.44",
TX202201 台指 2022/01,2022/1/17,,"18,509"
TX202202 台指 2022/02,2022/1/17,,"18,470"
TX202203 台指 2022/03,2022/1/17,,"18,412"
TX202206 台指 2022/06,2022/1/17,,"18,278"
TX202209 台指 2022/09,2022/1/17,,"17,900"
TX202212 台指 2022/12,2022/1/17,,"17,814"
Y9999 加權指數,2022/1/14,"18,403.33",
TX202201 台指 2022/01,2022/1/14,,"18,357"
TX202202 台指 2022/02,2022/1/14,,"18,325"
TX202203 台指 2022/03,2022/1/14,,"18,271"
TX202206 台指 2022/06,2022/1/14,,"18,134"
TX202209 台指 2022/09,2022/1/14,,"17,748"
TX202212 台指 2022/12,2022/1/14,,"17,676"
Y9999 加權指數,2022/1/13,"18,436.93",
TX202201 台指 2022/01,2022/1/13,,"18,425"
TX202202 台指 2022/02,2022/1/13,,"18,390"
TX202203 台指 2022/03,2022/1/13,,"18,332"
TX202206 台指 2022/06,2022/1/13,,"18,208"
TX202209 台指 2022/09,2022/1/13,,"17,808"
TX202212 台指 2022/12,2022/1/13,,"17,723"
Y9999 加權指數,2022/1/12,"18,375.40",
TX202201 台指 2022/01,2022/1/12,,"18,375"
TX202202 台指 2022/02,2022/1/12,,"18,340"
TX202203 台指 2022/03,2022/1/12,,"18,283"
TX202206 台指 2022/06,2022/1/12,,"18,147"
TX202209 台指 2022/09,2022/1/12,,"17,730"
TX202212 台指 2022/12,2022/1/12,,"17,666"
Y9999 加權指數,2022/1/11,"18,288.21",
TX202201 台指 2022/01,2022/1/11,,"18,280"
TX202202 台指 2022/02,2022/1/11,,"18,247"
TX202203 台指 2022/03,2022/1/11,,"18,188"
TX202206 台指 2022/06,2022/1/11,,"18,057"
TX202209 台指 2022/09,2022/1/11,,"17,600"
TX202212 台指 2022/12,2022/1/11,,"17,603"
Y9999 加權指數,2022/1/10,"18,239.38",
TX202201 台指 2022/01,2022/1/10,,"18,258"
TX202202 台指 2022/02,2022/1/10,,"18,233"
TX202203 台指 2022/03,2022/1/10,,"18,169"
TX202206 台指 2022/06,2022/1/10,,"18,021"
TX202209 台指 2022/09,2022/1/10,,"17,640"
TX202212 台指 2022/12,2022/1/10,,"17,586"
Y9999 加權指數,2022/1/7,"18,169.76",
TX202201 台指 2022/01,2022/1/7,,"18,143"
TX202202 台指 2022/02,2022/1/7,,"18,119"
TX202203 台指 2022/03,2022/1/7,,"18,060"
TX202206 台指 2022/06,2022/1/7,,"17,930"
TX202209 台指 2022/09,2022/1/7,,"17,535"
TX202212 台指 2022/12,2022/1/7,,"17,474"
Y9999 加權指數,2022/1/6,"18,367.92",
TX202201 台指 2022/01,2022/1/6,,"18,335"
TX202202 台指 2022/02,2022/1/6,,"18,305"
TX202203 台指 2022/03,2022/1/6,,"18,250"
TX202206 台指 2022/06,2022/1/6,,"18,133"
TX202209 台指 2022/09,2022/1/6,,"17,723"
TX202212 台指 2022/12,2022/1/6,,"17,659"
Y9999 加權指數,2022/1/5,"18,499.96",
TX202201 台指 2022/01,2022/1/5,,"18,480"
TX202202 台指 2022/02,2022/1/5,,"18,446"
TX202203 台指 2022/03,2022/1/5,,"18,387"
TX202206 台指 2022/06,2022/1/5,,"18,252"
TX202209 台指 2022/09,2022/1/5,,"17,842"
TX202212 台指 2022/12,2022/1/5,,"17,768"
Y9999 加權指數,2022/1/4,"18,526.35",
TX202201 台指 2022/01,2022/1/4,,"18,516"
TX202202 台指 2022/02,2022/1/4,,"18,480"
TX202203 台指 2022/03,2022/1/4,,"18,420"
TX202206 台指 2022/06,2022/1/4,,"18,300"
TX202209 台指 2022/09,2022/1/4,,"17,897"
TX202212 台指 2022/12,2022/1/4,,"17,800"
Y9999 加權指數,2022/1/3,"18,270.51",
TX202201 台指 2022/01,2022/1/3,,"18,273"
TX202202 台指 2022/02,2022/1/3,,"18,244"
TX202203 台指 2022/03,2022/1/3,,"18,186"
TX202206 台指 2022/06,2022/1/3,,"18,046"
TX202209 台指 2022/09,2022/1/3,,"17,659"
TX202212 台指 2022/12,2022/1/3,,"17,545"
Y9999 加權指數,2021/12/30,"18,218.84",
TX202201 台指 2022/01,2021/12/30,,"18,212"
TX202202 台指 2022/02,2021/12/30,,"18,181"
TX202203 台指 2022/03,2021/12/30,,"18,117"
TX202206 台指 2022/06,2021/12/30,,"17,992"
TX202209 台指 2022/09,2021/12/30,,"17,597"
TX202212 台指 2022/12,2021/12/30,,"17,506"
Y9999 加權指數,2021/12/29,"18,248.28",
TX202201 台指 2022/01,2021/12/29,,"18,276"
TX202202 台指 2022/02,2021/12/29,,"18,242"
TX202203 台指 2022/03,2021/12/29,,"18,180"
TX202206 台指 2022/06,2021/12/29,,"18,051"
TX202209 台指 2022/09,2021/12/29,,"17,650"
TX202212 台指 2022/12,2021/12/29,,"17,565"
Y9999 加權指數,2021/12/28,"18,196.81",
TX202201 台指 2022/01,2021/12/28,,"18,207"
TX202202 台指 2022/02,2021/12/28,,"18,175"
TX202203 台指 2022/03,2021/12/28,,"18,112"
TX202206 台指 2022/06,2021/12/28,,"17,979"
TX202209 台指 2022/09,2021/12/28,,"17,494"
TX202212 台指 2022/12,2021/12/28,,"17,475"
Y9999 加權指數,2021/12/27,"18,048.94",
TX202201 台指 2022/01,2021/12/27,,"18,068"
TX202202 台指 2022/02,2021/12/27,,"18,036"
TX202203 台指 2022/03,2021/12/27,,"17,990"
TX202206 台指 2022/06,2021/12/27,,"17,850"
TX202209 台指 2022/09,2021/12/27,,"17,434"
TX202212 台指 2022/12,2021/12/27,,"17,368"
Y9999 加權指數,2021/12/24,"17,961.64",
TX202201 台指 2022/01,2021/12/24,,"17,958"
TX202202 台指 2022/02,2021/12/24,,"17,925"
TX202203 台指 2022/03,2021/12/24,,"17,872"
TX202206 台指 2022/06,2021/12/24,,"17,750"
TX202209 台指 2022/09,2021/12/24,,"17,355"
TX202212 台指 2022/12,2021/12/24,,"17,260"
Y9999 加權指數,2021/12/23,"17,946.66",
TX202201 台指 2022/01,2021/12/23,,"17,954"
TX202202 台指 2022/02,2021/12/23,,"17,922"
TX202203 台指 2022/03,2021/12/23,,"17,858"
TX202206 台指 2022/06,2021/12/23,,"17,730"
TX202209 台指 2022/09,2021/12/23,,"17,331"
TX202212 台指 2022/12,2021/12/23,,"17,257"
Y9999 加權指數,2021/12/22,"17,826.83",
TX202201 台指 2022/01,2021/12/22,,"17,833"
TX202202 台指 2022/02,2021/12/22,,"17,802"
TX202203 台指 2022/03,2021/12/22,,"17,740"
TX202206 台指 2022/06,2021/12/22,,"17,612"
TX202209 台指 2022/09,2021/12/22,,"17,200"
TX202212 台指 2022/12,2021/12/22,,"17,101"
Y9999 加權指數,2021/12/21,"17,789.27",
TX202201 台指 2022/01,2021/12/21,,"17,796"
TX202202 台指 2022/02,2021/12/21,,"17,766"
TX202203 台指 2022/03,2021/12/21,,"17,704"
TX202206 台指 2022/06,2021/12/21,,"17,600"
TX202209 台指 2022/09,2021/12/21,,"17,142"
TX202212 台指 2022/12,2021/12/21,,"17,095"
Y9999 加權指數,2021/12/20,"17,669.11",
TX202201 台指 2022/01,2021/12/20,,"17,580"
TX202202 台指 2022/02,2021/12/20,,"17,549"
TX202203 台指 2022/03,2021/12/20,,"17,504"
TX202206 台指 2022/06,2021/12/20,,"17,397"
TX202209 台指 2022/09,2021/12/20,,
TX202212 台指 2022/12,2021/12/20,,"16,899"
Y9999 加權指數,2021/12/17,"17,812.59",
TX202201 台指 2022/01,2021/12/17,,"17,786"
TX202202 台指 2022/02,2021/12/17,,"17,759"
TX202203 台指 2022/03,2021/12/17,,"17,695"
TX202206 台指 2022/06,2021/12/17,,"17,580"
TX202209 台指 2022/09,2021/12/17,,
TX202212 台指 2022/12,2021/12/17,,"17,091"
Y9999 加權指數,2021/12/16,"17,785.74",
TX202201 台指 2022/01,2021/12/16,,"17,804"
TX202202 台指 2022/02,2021/12/16,,"17,778"
TX202203 台指 2022/03,2021/12/16,,"17,714"
TX202206 台指 2022/06,2021/12/16,,"17,590"
TX202209 台指 2022/09,2021/12/16,,"17,157"
TX202212 台指 2022/12,2021/12/16,,"17,117"
Y9999 加權指數,2021/12/15,"17,660.10",
TX202112 台指 2021/12,2021/12/15,,"17,630"
TX202201 台指 2022/01,2021/12/15,,"17,597"
TX202202 台指 2022/02,2021/12/15,,"17,571"
TX202203 台指 2022/03,2021/12/15,,"17,502"
TX202206 台指 2022/06,2021/12/15,,"17,386"
TX202209 台指 2022/09,2021/12/15,,"16,960"
Y9999 加權指數,2021/12/14,"17,599.37",
TX202112 台指 2021/12,2021/12/14,,"17,605"
TX202201 台指 2022/01,2021/12/14,,"17,543"
TX202202 台指 2022/02,2021/12/14,,"17,514"
TX202203 台指 2022/03,2021/12/14,,"17,458"
TX202206 台指 2022/06,2021/12/14,,"17,337"
TX202209 台指 2022/09,2021/12/14,,"16,942"
Y9999 加權指數,2021/12/13,"17,767.60",
TX202112 台指 2021/12,2021/12/13,,"17,752"
TX202201 台指 2022/01,2021/12/13,,"17,691"
TX202202 台指 2022/02,2021/12/13,,"17,662"
TX202203 台指 2022/03,2021/12/13,,"17,601"
TX202206 台指 2022/06,2021/12/13,,"17,504"
TX202209 台指 2022/09,2021/12/13,,"17,183"
Y9999 加權指數,2021/12/10,"17,826.26",
TX202112 台指 2021/12,2021/12/10,,"17,818"
TX202201 台指 2022/01,2021/12/10,,"17,763"
TX202202 台指 2022/02,2021/12/10,,"17,730"
TX202203 台指 2022/03,2021/12/10,,"17,672"
TX202206 台指 2022/06,2021/12/10,,"17,572"
TX202209 台指 2022/09,2021/12/10,,
Y9999 加權指數,2021/12/9,"17,914.12",
TX202112 台指 2021/12,2021/12/9,,"17,911"
TX202201 台指 2022/01,2021/12/9,,"17,852"
TX202202 台指 2022/02,2021/12/9,,"17,823"
TX202203 台指 2022/03,2021/12/9,,"17,765"
TX202206 台指 2022/06,2021/12/9,,"17,559"
TX202209 台指 2022/09,2021/12/9,,
Y9999 加權指數,2021/12/8,"17,832.42",
TX202112 台指 2021/12,2021/12/8,,"17,851"
TX202201 台指 2022/01,2021/12/8,,"17,793"
TX202202 台指 2022/02,2021/12/8,,"17,768"
TX202203 台指 2022/03,2021/12/8,,"17,716"
TX202206 台指 2022/06,2021/12/8,,"17,576"
TX202209 台指 2022/09,2021/12/8,,"17,191"
Y9999 加權指數,2021/12/7,"17,796.92",
TX202112 台指 2021/12,2021/12/7,,"17,795"
TX202201 台指 2022/01,2021/12/7,,"17,740"
TX202202 台指 2022/02,2021/12/7,,"17,708"
TX202203 台指 2022/03,2021/12/7,,"17,651"
TX202206 台指 2022/06,2021/12/7,,"17,504"
TX202209 台指 2022/09,2021/12/7,,"17,122"
Y9999 加權指數,2021/12/6,"17,688.21",
TX202112 台指 2021/12,2021/12/6,,"17,693"
TX202201 台指 2022/01,2021/12/6,,"17,638"
TX202202 台指 2022/02,2021/12/6,,"17,610"
TX202203 台指 2022/03,2021/12/6,,"17,548"
TX202206 台指 2022/06,2021/12/6,,"17,424"
TX202209 台指 2022/09,2021/12/6,,"17,053"
Y9999 加權指數,2021/12/3,"17,697.14",
TX202112 台指 2021/12,2021/12/3,,"17,706"
TX202201 台指 2022/01,2021/12/3,,"17,650"
TX202202 台指 2022/02,2021/12/3,,"17,620"
TX202203 台指 2022/03,2021/12/3,,"17,571"
TX202206 台指 2022/06,2021/12/3,,"17,457"
TX202209 台指 2022/09,2021/12/3,,"17,077"
Y9999 加權指數,2021/12/2,"17,724.88",
TX202112 台指 2021/12,2021/12/2,,"17,705"
TX202201 台指 2022/01,2021/12/2,,"17,649"
TX202202 台指 2022/02,2021/12/2,,"17,618"
TX202203 台指 2022/03,2021/12/2,,"17,559"
TX202206 台指 2022/06,2021/12/2,,"17,410"
TX202209 台指 2022/09,2021/12/2,,"17,050"
Y9999 加權指數,2021/12/1,"17,585.99",
TX202112 台指 2021/12,2021/12/1,,"17,586"
TX202201 台指 2022/01,2021/12/1,,"17,536"
TX202202 台指 2022/02,2021/12/1,,"17,500"
TX202203 台指 2022/03,2021/12/1,,"17,448"
TX202206 台指 2022/06,2021/12/1,,"17,339"
TX202209 台指 2022/09,2021/12/1,,"16,944"
Y9999 加權指數,2021/11/30,"17,427.76",
TX202112 台指 2021/12,2021/11/30,,"17,327"
TX202201 台指 2022/01,2021/11/30,,"17,280"
TX202202 台指 2022/02,2021/11/30,,"17,253"
TX202203 台指 2022/03,2021/11/30,,"17,205"
TX202206 台指 2022/06,2021/11/30,,"17,082"
TX202209 台指 2022/09,2021/11/30,,"16,695"
Y9999 加權指數,2021/11/29,"17,328.09",
TX202112 台指 2021/12,2021/11/29,,"17,308"
TX202201 台指 2022/01,2021/11/29,,"17,261"
TX202202 台指 2022/02,2021/11/29,,"17,231"
TX202203 台指 2022/03,2021/11/29,,"17,188"
TX202206 台指 2022/06,2021/11/29,,"17,080"
TX202209 台指 2022/09,2021/11/29,,"16,739"
Y9999 加權指數,2021/11/26,"17,369.39",
TX202112 台指 2021/12,2021/11/26,,"17,342"
TX202201 台指 2022/01,2021/11/26,,"17,296"
TX202202 台指 2022/02,2021/11/26,,"17,265"
TX202203 台指 2022/03,2021/11/26,,"17,217"
TX202206 台指 2022/06,2021/11/26,,"17,100"
TX202209 台指 2022/09,2021/11/26,,"16,703"
Y9999 加權指數,2021/11/25,"17,654.19",
TX202112 台指 2021/12,2021/11/25,,"17,676"
TX202201 台指 2022/01,2021/11/25,,"17,627"
TX202202 台指 2022/02,2021/11/25,,"17,602"
TX202203 台指 2022/03,2021/11/25,,"17,541"
TX202206 台指 2022/06,2021/11/25,,"17,440"
TX202209 台指 2022/09,2021/11/25,,"16,974"
Y9999 加權指數,2021/11/24,"17,642.52",
TX202112 台指 2021/12,2021/11/24,,"17,679"
TX202201 台指 2022/01,2021/11/24,,"17,634"
TX202202 台指 2022/02,2021/11/24,,"17,605"
TX202203 台指 2022/03,2021/11/24,,"17,522"
TX202206 台指 2022/06,2021/11/24,,"17,421"
TX202209 台指 2022/09,2021/11/24,,
Y9999 加權指數,2021/11/23,"17,666.12",
TX202112 台指 2021/12,2021/11/23,,"17,659"
TX202201 台指 2022/01,2021/11/23,,"17,610"
TX202202 台指 2022/02,2021/11/23,,"17,572"
TX202203 台指 2022/03,2021/11/23,,"17,532"
TX202206 台指 2022/06,2021/11/23,,"17,419"
TX202209 台指 2022/09,2021/11/23,,"17,005"
Y9999 加權指數,2021/11/22,"17,803.54",
TX202112 台指 2021/12,2021/11/22,,"17,836"
TX202201 台指 2022/01,2021/11/22,,"17,790"
TX202202 台指 2022/02,2021/11/22,,"17,765"
TX202203 台指 2022/03,2021/11/22,,"17,717"
TX202206 台指 2022/06,2021/11/22,,"17,586"
TX202209 台指 2022/09,2021/11/22,,
Y9999 加權指數,2021/11/19,"17,818.31",
TX202112 台指 2021/12,2021/11/19,,"17,851"
TX202201 台指 2022/01,2021/11/19,,"17,804"
TX202202 台指 2022/02,2021/11/19,,"17,762"
TX202203 台指 2022/03,2021/11/19,,"17,721"
TX202206 台指 2022/06,2021/11/19,,"17,596"
TX202209 台指 2022/09,2021/11/19,,
Y9999 加權指數,2021/11/18,"17,841.37",
TX202112 台指 2021/12,2021/11/18,,"17,860"
TX202201 台指 2022/01,2021/11/18,,"17,813"
TX202202 台指 2022/02,2021/11/18,,"17,781"
TX202203 台指 2022/03,2021/11/18,,"17,732"
TX202206 台指 2022/06,2021/11/18,,"17,618"
